INDEX,ROLL,HREF,HREF_2
1926,2201109057,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S1D12832/1737270447736907/2201109057_32874O24142S1D12832E1.html,exam not found
2268,2201142745,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S3D13949/17374366538539041/2201142745_32874O24142S3D13949E1.html,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24141/32874O24141S1D1769/17373505165043489/2201142745_32874O24141S1D1769E1.html
2099,8201056351,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S1D12702/17372701640759026/8201056351_32874O24142S1D12702E1.html,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24141/32874O24141S1D1745/17373505292065877/8201056351_32874O24141S1D1745E1.html
1926,2201109057,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S1D12832/1737270447736907/2201109057_32874O24142S1D12832E1.html,exam not found
2268,2201142745,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S3D13949/17374366538539041/2201142745_32874O24142S3D13949E1.html,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24141/32874O24141S1D1769/17373505165043489/2201142745_32874O24141S1D1769E1.html
3148,2201228526,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S1D13009/17372689398918220/2201228526_32874O24142S1D13009E1.html,exam not found
468,3007007767,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S3D13918/17374365855534644/3007007767_32874O24142S3D13918E1.html,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24141/32874O24141S1D1834/17373504131845403/3007007767_32874O24141S1D1834E1.html
1773,3010087836,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S3D13911/17374365021814070/3010087836_32874O24142S3D13911E1.html,exam not found
1895,3011001730,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S3D13693/17374368847524273/3011001730_32874O24142S3D13693E1.html,exam not found
2981,3206039073,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S1D13075/17372700911209479/3206039073_32874O24142S1D13075E1.html,exam not found
3561,3206153791,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S1D13075/17372700866875841/3206153791_32874O24142S1D13075E1.html,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24141/32874O24141S1D1775/17373504586604022/3206153791_32874O24141S1D1775E1.html
872,4410032501,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S3D13800/17374369785203356/4410032501_32874O24142S3D13800E1.html,exam not found
2208,5105012718,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S3D13584/17374363394773912/5105012718_32874O24142S3D13584E1.html,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24141/32874O24141S1D1717/17373504189567648/5105012718_32874O24141S1D1717E1.html
2558,6005000186,https://ssc.digialm.com//per/g27/pub/32874/touchstone/AssessmentQPHTMLMode1//32874O24142/32874O24142S1D12809/17372706702166654/6005000186_32874O24142S1D12809E1.html,exam not found
